feature,importance
digg_count,0.34297195937878305
engagement_score,0.2957371629801177
collect_count,0.1391006471733825
comment_count,0.0914029467556306
share_count,0.05942462426198862
word_count,0.01815466703808334
play_count,0.015313600397470518
text_length,0.011107434958823654
upload_dayofweek,0.007529129145882773
num_hashtags,0.0072237042249079534
upload_hour,0.004831973538705197
subjectivity,0.0037573164585227746
sentiment,0.0034368313693542802
is_top_creator,8.002318347147162e-06
has_trending_keyword,0.0
song_rank,0.0
music_age_days,0.0
follower_cnt,0.0
