desc,create_time,author_user_id,music_author,music_title,music_create_time,music_duration,music_id,collect_count,comment_count,digg_count,forward_count,play_count,share_count,video_url
"The HONOR 400 Lite is now 𝑨𝒗𝒂𝒊𝒍𝒂𝒃𝒍𝒆 𝑵𝒂𝒕𝒊𝒐𝒏𝒘𝒊𝒅𝒆 at RM1,299!  Bringing you a smarter experience with its intuitive AI Button and intelligent AI features ✨ 🛒 Get yours now and enjoy RM200 Instant Rebate* & 1 Year Extended Warranty worth RM99  *T&Cs Apply. While stocks last. #HONOR #HONORMalaysia #HONOR400Series #HONOR400Lite",1745405655,6546060214817882113,HONOR Malaysia,original sound - honormalaysia,1745405658.0,10.0,7496460214493924112,979.0,244.0,8913.0,0.0,26950378.0,986.0,https://www.tiktok.com/@mnm_pipi/video/7496460189118385426
"Teh tarik tak padu tanpa vibe mamak - FACT! Now, uols dah boleh rasa teh tarik sedap macam mamak dengan Teh Tarik ORI F&N. 😎 #FnNDairies #FnNTehTarik #RasaORIMalaysia",1746435090,7496449172066714645,fnntehtarikmy,original sound - fnntehtarikmy,1746435097.0,6.0,7500881615560755984,646.0,110.0,6221.0,0.0,21602670.0,926.0,https://www.tiktok.com/@mnm_pipi/video/7500881578696969480
Bukan senang nak senang. #BossMekdi sendiri mula dari bawah.,1746525600,6604971159769366529,McDonald's Malaysia,original sound - mcdmalaysia,1746523022.0,90.0,7501259255702539025,4972.0,444.0,41146.0,0.0,19384050.0,154.0,https://www.tiktok.com/@mnm_pipi/video/7501259046280858896
"Work, create, entertain, stay productive, and do more your way with the Galaxy Tab! Head to your nearest Samsung Experience Store and make it yours today. #MyWayMyTab #GalaxyTab",1745547217,7057336297317319707,,,,,,580.0,22.0,7828.0,0.0,19845589.0,554.0,https://www.tiktok.com/@mnm_pipi/video/7497068175511620870
Doublemint Menyegarkan Nafas Selepas Makan #marswrigley #marsmalaysia #doublemint #tiktokmalaysia #fyp,1744277228,7293326612090848274,MarsWrigley.MY,original sound - marswrigley.my,1744277236.0,6.0,7491613679025392401,1163.0,5.0,9135.0,0.0,29525527.0,957.0,https://www.tiktok.com/@mnm_pipi/video/7491613637048618247
Ulang tahun ke-60 Diamond Jubilee Madness!!! 😍 Semua Orang Adalah Pemenang!  Baca komen utk info lanjut!  #resortsworldgenting #fyp #fypage #fypシ゚ ,1747219224,6796937564638561282,Resorts World Genting,original sound - rwgenting,1747219228.0,9.0,7504249440204147457,997.0,278.0,9502.0,0.0,19942058.0,761.0,https://www.tiktok.com/@mnm_pipi/video/7504249411736734994
"Dengan usaha & rajin post — boleh je dapat income macam ni! Tak percaya? Tanya je @Faa | IG @_afifahrosli , lepas tu try sendiri 😎🧡 Link kat bio",1745216889,7296396154895008769,Shopee Affiliate MY,original sound - shopeeaffiliatemy,1745216892.0,46.0,7495649468818131713,5852.0,342.0,37326.0,0.0,34139430.0,3195.0,https://www.tiktok.com/@mnm_pipi/video/7495649437327297799
"“Selamat Hari Kaamatan, Kotobian Tadau Tagazo do Kaamatan” Jom sertai Peraduan F&N Heboh Gawai Kaamatan & menangi hadiah bernilai sehingga RM300,000 dengan pembelian produk F&N kegemaran anda! CARA PENYERTAAN: BELI minimum RM8 produk jenama F&N yang terlibat IMBAS QR dan hantar gambar resit ke wa.link/fnheboh_em  WA +6018 388 0131 MENANG Setiap RM8 = 1 penyertaan Tempoh Peraduan: 16 Apr - 30 Jun 2025 Rujuk link  https://www.fn.com.my/promotion_contest/peraduan-fn-heboh-gawai-kaamatan/  untuk maklumat lanjut dan terma & syarat. @Mitsubishi Motors Malaysia  #fnnbelidanmenang  #peraduanfnnhebohgawaikaamatan  #fnnmalaysia  #SelamatHariKaamatanbersamaFnn  #mitsubishimotorsmalaysia ",1745053197,7332163177406546950,Symphonic Planet,Legend of Santubong,1709677383.0,60.0,7343002204624881666,1326.0,193.0,8055.0,0.0,26544868.0,1001.0,https://www.tiktok.com/@mnm_pipi/video/7494946239885102337
Jangan lupa guys lock date korang esok 15-17 Mei untuk korang shopping dekat TikTok Shop sempena Super Mall Fest. Best gila tawaran yang ada.  - Mall Voucher up to RM80 - Unlimited Free Shipping - 100% Authentic #TikTokShop ,1747192402,7148386175531058182,tiktokshop_my 🇲🇾,original sound - tiktokshop_my,1747192406.0,30.0,7504134236581546769,1744.0,317.0,26289.0,0.0,17595422.0,887.0,https://www.tiktok.com/@mnm_pipi/video/7504134167198747905
"Oh, all the places we could go! ✨manifest✨ #genvisa #genvisaapac #visa #travel #traveltiktok #vee #japan #china #korea ",1745983608,7243632967124894728,Generation Visa,original sound - genvisa,1745983613.0,5.0,7498942509641386753,9802.0,289.0,183156.0,0.0,76596964.0,350.0,https://www.tiktok.com/@mnm_pipi/video/7498942470932139284
Say goodbye to low battery anxiety. #GT7 is coming with epic battery life! 🔋  Catch the launch on May 27th in Paris! #realmeMY #realmeGT7Series #IceSenseDesign #flagshipkiller,1747033200,6781749369135727617,realmeMalaysia,original sound - realme.my,1746780448.0,38.0,7502364891228146433,1686.0,339.0,17396.0,0.0,18284495.0,1003.0,https://www.tiktok.com/@mnm_pipi/video/7502364873427488018
"Banyak orang tak percaya, tapi korang boleh try dulu baru tahu!! Shopee Affiliate memang senang. Step One: SIGN UP DULU ‼️ Link kat bio 💰🧡",1747210735,7296396154895008769,Shopee Affiliate MY,original sound - shopeeaffiliatemy,1747210741.0,8.0,7504212984207149825,5204.0,338.0,43743.0,0.0,19963761.0,1672.0,https://www.tiktok.com/@mnm_pipi/video/7504212950022966546
"💚 Celebrate Acne Awareness Month with Real Results 💚 ✨ Real stories. Real skin transformations. ✨ Experience the power of the Eucerin ProACNE Regimen — visible results from 1st use, trusted by real users, and dermatologically-tested. #EucerinAcneAwarenessMonth #EucerinMY  #EucerinAcneExpert  #LifeChangingSkincare  #Dermatologicalskincare  #Dermatologist #EucerinProAcne #productcontent #belisekarang #TikTokMadeMebuyit #M1 ",1747279370,7024016574178001921,Eucerin Malaysia,original sound - eucerinmalaysia,1747279373.0,6.0,7504507759929658128,914.0,8.0,6589.0,0.0,19511840.0,575.0,https://www.tiktok.com/@mnm_pipi/video/7504507726098124039
mending main Block blast! aja #blockblast #blockblastlove,1744852353,6947590614088205314,Hycaa Dewii,original sound - hycaax5,1744852357.0,18.0,7494083798309620481,133337.0,10880.0,2129866.0,0.0,194200109.0,187714.0,https://www.tiktok.com/@mnm_pipi/video/7494083753640267026
,,,,,,,,,,,,,,https://www.tiktok.com/@mnm_pipi/video/7506008549957356816
"🔥 SPICE UP your meal & COLLECT your favorite postcards! Buy 10s Indomie Spicy Mushroom or Indomie Fiery Chicken and get your Mini Postcard Set from Indomie😍✨ Available only in stores below: KL & Selangor: Jaya Grocer & NSK Penang & Kedah: Sunshine, Billion Kota Permai, C Mart Johor Bharu: NSK, Midas, Hwa Thai, Maslee While stocks last – Get yours before it’s gone! #OhMyGoodItsIndomie",1746677731,7404656099665757204,indomie_malaysia,original sound - indomie_malaysia,1746677737.0,18.0,7501923748535077648,494.0,100.0,4380.0,0.0,15545475.0,841.0,https://www.tiktok.com/@mnm_pipi/video/7501923703979003144
Kembali segar setiap kali selepas menjamu selera. Doublemint Menyegarkan Nafas Selepas Makan #marswrigley #marsmalaysia #tiktokmalaysia #fyp#Doublemint ##inspiringeverydayhappiness #inspiringhappiness,1744016526,7293326612090848274,MarsWrigley.MY,original sound - marswrigley.my,1744016531.0,15.0,7490493957156260625,1107.0,6.0,8762.0,0.0,30420666.0,1185.0,https://www.tiktok.com/@mnm_pipi/video/7490493922779663624
"Sambal Tumis Sotong Kenbang yang senang dan mudah, sesuai dihidangkan utk tetamu yang dtg berkunjung di rumah,  akak gunakan MAGGI®️ Sambal Tumis untuk rasa sambal yang sebenar dgn rasa yang authentic  Diperbuat dengan Cili dan Bawang Segar MAGGI®️ Sambal Tumis ialah rahsia Sambal yang sedap, sesuai dihidangkan bersama Nasi Lemak Sambal Tumis Sotong Kembang  ========================== Bahan - 1 ekor Sotong Kembang 2 peket Maggi Sambal Tumis  1/2 cawan Air Asam Jawa 1 keping Gula Kabung  Serbuk Perasa Maggi Cukup Rasa  1/4 cawan Kacang Tumbuk  Cara - Panaskan Minyak, masukkan Bawang Besar hiris Masukkan Maggi Sambal Tumis  Masak sehingga sebati Masukkan Air Asam Jawa masukkan Sotong Kembang Perasakan dgn Gula dan Maggi Cukup Rasa  Bila Sotong dah lembut dan masak, taburkan Kacang Tumbuk  #MAGGISambalTumis #GerentiMenjadi @MAGGI Malaysia ",1744087432,6921675564857164801,K H A I,Suasana Hari Raya Lofi by KHAI,1680481381.0,75.0,7217612533845936902,6816.0,128.0,47443.0,0.0,17827969.0,2601.0,https://www.tiktok.com/@mnm_pipi/video/7490798455577791752
