Unnamed: 0,comment,cost,cpa,ctr,cvr,impression,keyword,like,play_six_rate,post_change,share,video_list
35,120,1010,1.46,4.13,3.44,1100000,jean,6154,9.14,100.0,375,"['7496416275304926482', '7498642085751377159', '7498587966055533842', '7501527144095354119', '7372678484621118740']"
36,36,1340,2.19,4.92,3.25,831000,kids,3062,16.98,88.55,143,"['7499069204667174164', '7316152731180223751', '7505967762062216455', '7498131688824818951', '7491894756386049288']"
37,29,1100,2.39,6.38,2.56,638000,jam,3307,14.9,95.15,79,"['7481937841677798674', '7501298596235496712', '7503559464633584904', '7455344078893403393', '7500987361514343698']"
38,149,8110,4.09,2.8,5.77,2510000,dapatkan sekarang,6979,16.13,88.12,1104,"['7470016931169307921', '7489661849533746450', '7501633447006457096', '7489755526033689874', '7132511943667027227']"
39,8,243,1.82,0.3,17.92,511000,diabetes,516,11.84,101.23,54,"['7503430617418255634', '7507899235593899272', '7498990995929976071', '7494715221408238855', '7476299316517178644']"
40,65,1640,2.39,4.12,2.57,1460000,t-shirt,10887,11.95,96.88,221,"['7507170130078551314', '7507177388254432532', '7506938492472069396', '7503138108079197457', '7507353581016665351']"
41,142,3150,2.85,3.09,3.54,2230000,perfumetiktok,5927,8.29,90.11,360,"['7463449536497847559', '7497776192091688212', '7506773463676292372', '7430689586877107473', '7447133554766662920']"
42,50,1400,1.55,8.43,4.1,574000,blouse,2153,18.53,98.93,102,"['7496709650469883154', '7490605628495383826', '7460780974775848199', '7503500216801234196', '7460792545275235602']"
43,34,1170,3.03,3.58,3.16,763000,kasual,2992,9.99,97.75,151,"['7501551945660828946', '7507177388254432532', '7483093940892126471', '7502723456199413010', '7490880832421268743']"
44,28,1660,3.02,1.96,3.74,1660000,summer,5610,6.66,99.23,91,"['7504956214728576263', '7498999249217064200', '7485619083799432454', '7498344129995214087', '7501965690132270342']"
45,22,650,1.67,4.45,4.51,419000,kurta,1148,18.24,111.47,81,"['7478585576703134983', '7480273209464589586', '7470403645687827730', '7507210168023715090', '7472248775893945608']"
46,20,996,1.57,4.73,5.88,518000,tumbler,1210,11.54,103.97,85,"['7481282406897421576', '7372714089560247553', '7493795583040277778', '7505366845432581394', '7508308312539008264']"
47,13,549,1.82,7.02,4.72,179000,wallet,938,24.71,101.04,29,"['7505215121715678482', '7467023903592811794', '7473359908042296584', '7503953332139052304', '7449406400393956613']"
48,44,1640,5.48,5.49,1.66,713000,serum,3656,14.86,97.79,99,"['7506160870406376721', '7506334639070481671', '7502654888141262088', '7489876031667473671', '7495943179435396359']"
49,221,7740,4.0,3.76,3.58,3190000,tekan beg kuning,10234,15.95,85.87,759,"['7262498053268000001', '7489028329505443080', '7442588758580514066', '7417426358743223570', '7385095170791951634']"
